,tweet
0,"RT @CrypticNoOnee: Trump in this debate https://t.co/wPcaGpBo1W
"
11,"RT @M2Madness: This is a mostly peaceful debate.
"
22,"@if_you_see_kaye This debate should probably have a moderator
"
31,"@realDonaldTrump Why is the president having to debate walace and biden
"
43,"RT @RachelBaribeau: Me either....
"
50,"RT @SteveSchmidtSES: Chris Wallace has completely lost control of this debate.
"
64,"This debate is giving me real NeNe vs Kim vibes
"
74,"RT @charliekirk11: Donald Trump shouldn't have to debate both Chris Wallace AND Joe Biden.
"
92,"RT @1Alexserra: My thoughts on the debate so far:Is this reality tv? #Debates2020
"
111,"Can #JudgeMathis moderate this damn debate? He would be better #Debates2020
"
125,"This debate is a shit show.
"
132,"RT @TeaPainUSA: This debate don't need a moderator.  It needs a bouncer.
"
149,"RT @NikkoGuy: watching the US debate counts as self harm I think
"
163,"RT @CVAgainstFash: You don't have to watch the debate. Do cool shit instead.
"
181,"RT @TheDailyShow: Chris Wallace's debate performance tonight is a great reminder that kindergarten teachers are underpaid. #Debates2020
"
203,"Debate is crazy. Kindergarteners argue like this.
"
212,"Who's leaning towards winning the debate?
"
220,"ok........I def need to turn this debate into a drinking game bc that's the only way I'll get through it
"
244,"this debate is getting me more heated than i expected it to
"
256,"RT @ebruenig: this debate is about who hates the left more
"
269,"RT @randomhasss: watching this debate thinking about the future of this country https://t.co/k6MQTyNaG3
"
297,"RT @TheRickWilson: Trumps central plan for this debate is to scream and stomp his tiny kitten-heel boots
"
316,"@TheDailyShow Mr. Trevor Noah can you moderate a debate :)
"
328,"RT @Yamiche: Former VP Joe Biden about 20 minutes into the debate to President Trump: ""Will you shut up man.""
"
354,"The feeling watching this debate can only be described as a full-body retch
"
367,"RT @mrcarmack: A few seconds of this debate gave me the biggest migraine
"
382,"RT @hopey678: . @JoeBiden if you make it through this debate, you can make it through a criminal investigation.
"
406,"Literally a dumbass .
"
410,"This man brings up BIG 10 football in a presidential debate.... WHAT
"
440,"RT @desusnice: chris wallace hosting this debate https://t.co/NaR8RNE5ht
"
464,"The debate cut out so I'm watching a couple of eggs boil. #Debates2020
"
480,"RT @ziwe: i would moderate a better debate
"
490,"RT @CallMeCarsonYT: I just got my eyes back and now i have to see this debate
"
508,"This debate is a joke!
"
514,"This debate is a WHOLE shit show!
"
522,"RT @GoVelda: ""I brought back football"" 
"
532,"RT @DrKellyVictory: How many times is Chris Wallace  going to cut off @realDonaldTrump during this debate? #Debate2020
"
554,"I think this debate will be the death of Chris Wallace #Debates2020
"
567,"RT @awhawth: A metaphor for his entire presidency.  Breaking the rules, those supposed to keep the rules letting him get away with it
"
594,"RT @BoingBoing: 'Shut up, man' - Biden to Trump during first Presidential debate https://t.co/mpAKpGRRaK
"
614,"THIS MF TWEETING DURING THE DEBATE HELPMEEEWDJDJCKSK
"
621,"RT @surgingsss: did trump really just try to start a 3 way debate with the moderator https://t.co/giiEXS4HBF
"
642,"RT @pattonoswalt: DEBATE DRINKING GAME: Do heroin. #debates
"
655,"RT @1776Stonewall: This Trump/Wallace debate is great. Where's Joe?
"
669,"RT @_mally_j: AYO YOU WILD TWEETING DURING A DEBATE
"
680,"RT @cth5sos: ""i brought back football"" is not a valid point in a debate?? what do u want a fucking cookie? no one cares. #PresidentialDebate
"
714,"RT @soledadobrien: The moderator is a disaster. https://t.co/yaQ4K7YC43
"
727,"Fuck this presidential debate... Go on  @joerogan !!!
"
739,"RT @BuckyIsotope: *pronounces debate like karate*
"
749,"RT @JillFilipovic: My takeaway from this debate is no more men for president.
"
787,"Listening to this debate is like listening to 7 year olds argue
"
799,"this debate stresses me out and gives me anxiety
"
808,"RT @TheLewisBlack: We knew how to run a debate better when I was in high school. Chris Wallace do your job. You went to high school.
"
839,"This debate lmao
"
842,"RT @petridishes: debate drinking game!: continue to drink continuously as you have been doing for the past six months
"
888,"THIS DUDE TWEETING DURING THE DEBATE
"
894,"The best debate is between Tump &amp; Wallace.  Biden is clueless.
"
909,"Watching the debate and see how trump looks so stupid #dumptump
"
921,"RT @1followernodad: This debate feels like watching Uncut Gems
"
932,"Wait is trumping tweeting in the middle of a debate?
"
943,"RT @benshapiro: So the strategy is for everyone to die of boredom before this debate hits 20 minutes in.
"
965,"this debate is so MESSY its literally like watching two 3 year olds fighting over crayons
"
981,"@LaurToronto4 Moderator's fault. He's just letting him walk all over this debate.
"
998,"this whole debate is a nightmare fever dream
"
1006,"RT @ComfortablySmug: Where were you when you watched Joe Biden die on a debate stage?
"
1024,"RT @RadioFreeTom: Both Chris Wallace and Joe Biden are laughing at the President of the United States during the debate #Debates2020
"
1058,"why did anyone think having this debate would be a good idea i-
"
1071,"RT @Grace_Segers: hot debate take: 9pm is too late
"
1123,"RT @JackPosobiec: BREAKING: Biden requesting a break every 30 minutes during debate. Trump refused, per report.
"
1145,"RT @thearmchaircom: We need Black women to moderate this debate.
"
1158,"@ChrisWallace101 You need to get a DAMN BACKBONE. This is out of control. You're the moderator of this debate. Get Control of this Debate.
"
1188,"RT @chrislhayes: This but for everything.
"
1197,"RT @ojenabosi: Donald Trump acting like this debate is a Bad Girls Club reunion special
"
1214,"Mask shaming during a debate Lmaoo God help us
"
1223,"Chris Wallace is the worst! He allows Trump to turn this into one of his rallies. I've never seen such a poorly run debate.
"
1251,"SHAMBLES!!!!!!
"
1258,"RT @yashar: Trump is the moderator of this debate.
"
1281,"RT @JoeSantagato: The debate is the greatest horror movie of all time.
"
1296,"@CathyMohlahlana That's the only thing his good at, looking into the camera, but the substance of his debate is lacking.
"
1321,"Raise your hand if you are not surprised that Trump is completely ignoring the debate moderator
"
1337,"Wow, football?!?! That's the big takeaway from how he's assisted during the COVID-19 pandemic?!?!?!? #Debates2020 #Debate2020 #debate
"
1371,"#Debates2020 trump wants the last word soooo bad!!! #debate
"
1385,"RT @Politidope: This is unfolding not like a debate, but a temper tantrum.
"
1402,"I wish Bernie was the moderator of this debate. How funny would that be they both hate him so much
"
1423,"RT @DouglasMGriffin: @RadioFreeTom I recommend a shock collar for the next debate.
"
1439,"RT @Reflog_18: The Big Ten watching the debate https://t.co/Fm4TvfKl9K
"
1452,"Comcast: Down no 30 minutes into the debate. You suck.
"
1465,"RT @TevonBlair: CALLING ALL BLACK PEOPLE TO TWITTER: We have a debate to watch.
"
1483,"RT @rgay: Does Chris Wallace plan on moderating the debate or will he just let Trump trump his way through the debate?
"
1508,"RT @SandbergEmmet: Watching this debate is how I imagine it feels to be a woman in a poli sci class
"
1530,"RT @JimGaffigan: Somehow Trump is getting 3rd place in this 2 person debate. #Debates2020 #debates
"
1550,"RT @WilsonNoWorries: Trump just doing whatever the hell he wants in this debate and the moderator is just rolling with it.
"
1596,"RT @wpdeabc15: WEIGH IN: Which candidate do you think is doing better in the debate so far? https://t.co/qmv0yJu7PO https://t.co/DO1yxXsInO
"
1623,"RT @MohamadZoror: this debate is lowering my IQ
"
1633,"It hurts watching this debate
"
1638,"Looks like 45 got a fresh coat of paint for tonight. #debate
"
1672,"The debate is between 
"
1676,"RT @JLCauvin: Trump is incredibly stupid and incredibly arrogant. Worst possible combo for a leader on full display.
"
1698,"RT @OMGItsBirdman: This debate sound like a call of duty lobby
"
1711,"RT @JPasette: there are more rules during a kindergarten zoom class than during this debate #PresidentialDebate
"
1730,"RT @GinSodaLime: A recap of the first 15 minutes of this debate: #DebateNight https://t.co/oEX3envfru
"
1767,"If they don't follow the debate format, cut the mic.
"
1780,"Is this a debate between Chris Wallace and Trump or Biden and Trump
"
1793,"My one thought from watching this debate: I wish we had a better option. 
"
1809,"I think the grumpy old man debate in America broke Twitter. #Debates2020
"
