,Unnamed: 0,tweet,bias
0,0,"RT @CrypticNoOnee: Trump in this debate https://t.co/wPcaGpBo1W
",N
1,0,"RT @M2Madness: This is a mostly peaceful debate.
",N
2,0,"@if_you_see_kaye This debate should probably have a moderator
",N
3,0,"@realDonaldTrump Why is the president having to debate walace and biden
",R
4,0,"RT @RachelBaribeau: Me either....
",N
5,0,"RT @SteveSchmidtSES: Chris Wallace has completely lost control of this debate.
",N
6,0,"This debate is giving me real NeNe vs Kim vibes
",N
7,0,"RT @charliekirk11: Donald Trump shouldn't have to debate both Chris Wallace AND Joe Biden.
",R
8,0,"RT @1Alexserra: My thoughts on the debate so far:Is this reality tv? #Debates2020
",N
9,0,"Can #JudgeMathis moderate this damn debate? He would be better #Debates2020
",N
10,0,"This debate is a shit show.
",N
11,0,"RT @TeaPainUSA: This debate don't need a moderator.  It needs a bouncer.
",N
12,0,"RT @NikkoGuy: watching the US debate counts as self harm I think
",N
13,0,"RT @CVAgainstFash: You don't have to watch the debate. Do cool shit instead.
",N
14,0,"RT @TheDailyShow: Chris Wallace's debate performance tonight is a great reminder that kindergarten teachers are underpaid. #Debates2020
",L
15,0,"Debate is crazy. Kindergarteners argue like this.
",N
16,0,"Who's leaning towards winning the debate?
",N
17,0,"ok........I def need to turn this debate into a drinking game bc that's the only way I'll get through it
",N
18,0,"this debate is getting me more heated than i expected it to
",N
19,0,"RT @ebruenig: this debate is about who hates the left more
",L
20,0,"RT @randomhasss: watching this debate thinking about the future of this country https://t.co/k6MQTyNaG3
",N
21,0,"RT @TheRickWilson: Trumps central plan for this debate is to scream and stomp his tiny kitten-heel boots
",L
22,0,"@TheDailyShow Mr. Trevor Noah can you moderate a debate :)
",N
23,0,"RT @Yamiche: Former VP Joe Biden about 20 minutes into the debate to President Trump: ""Will you shut up man.""
",N
24,0,"The feeling watching this debate can only be described as a full-body retch
",N
25,0,"RT @mrcarmack: A few seconds of this debate gave me the biggest migraine
",N
26,0,"RT @hopey678: . @JoeBiden if you make it through this debate, you can make it through a criminal investigation.
",R
27,0,"Literally a dumbass .
",N
28,0,"This man brings up BIG 10 football in a presidential debate.... WHAT
",N
29,0,"RT @desusnice: chris wallace hosting this debate https://t.co/NaR8RNE5ht
",N
30,0,"The debate cut out so I'm watching a couple of eggs boil. #Debates2020
",N
31,0,"RT @ziwe: i would moderate a better debate
",N
32,0,"RT @CallMeCarsonYT: I just got my eyes back and now i have to see this debate
",N
33,0,"This debate is a joke!
",N
34,0,"This debate is a WHOLE shit show!
",N
35,0,"RT @GoVelda: ""I brought back football"" 
",N
36,0,"RT @DrKellyVictory: How many times is Chris Wallace  going to cut off @realDonaldTrump during this debate? #Debate2020
",R
37,0,"I think this debate will be the death of Chris Wallace #Debates2020
",N
